Título,Endereço,Preço,Anunciante,Aréa
 Apartamento com 3 quartos à venda no bairro Setor Bueno ," Av. T- 3, 128, Setor Bueno, Goiânia - GO "," R$ 746.000,00 ",R8 Imóveis,
" Apartamento com 3 quartos à venda no bairro Setor Aeroporto, 176m² "," 17 a, 1426, Setor Aeroporto, Goiânia - GO "," R$ 570.000,00 ",Nova Mercado Imobiliário, 176m² 
" Apartamento com 3 quartos à venda no bairro Cidade Jardim, 72m² "," Rua Cláudio Manoel da Costa, 50, Cidade Jardim, Goiânia - GO "," R$ 180.000,00 ",Pointer Imoveis, 72m² 
" Casa com 3 quartos à venda no bairro Jardins Barcelona, 300m² "," Rua Segre, 0, Jardins Barcelona, Senador Canedo - GO "," R$ 1.350.000,00 ",Urbs Private 3, 300m² 
" Rural com 3 quartos à venda no bairro Vila Santo Antônio, 200m² "," Rua 25, 12, Vila Santo Antônio, Rio Verde - GO "," R$ 3.000.000,00 ",Am&p Brasil Imobiliária Ltda, 200m² 
" Apartamento com 2 quartos à venda no bairro Vila Brasília, 66m² "," Rua 13, 0, Vila Brasília, Aparecida de Goiânia - GO "," R$ 280.000,00 ",Urbs Private 3, 66m² 
" Apartamento com 2 quartos à venda no bairro Parque Amazônia, 62m² "," Rua Igapo, 0, Parque Amazônia, Goiânia - GO "," R$ 380.000,00 ",André Lima, 62m² 
" Cobertura com 4 quartos à venda no bairro Setor Marista, 406m² "," 1141, 247, Setor Marista, Goiânia - GO "," R$ 3.990.000,00 ",R8 Imóveis, 406m² 
" Apartamento com 2 quartos à venda no bairro Setor Marista, 74m² "," Alameda Ricardo Paranhos, 1, Setor Marista, Goiânia - GO "," R$ 260.000,00 ",Pointer Imoveis, 74m² 
" Apartamento com 2 quartos à venda no bairro Goiânia 02, 61m² "," Pedro Paulo de Souza, 1031, Goiânia 02, Goiânia - GO "," R$ 315.000,00 ",M2 Investimentos Imobiliários, 61m² 
" Apartamento com 1 quarto à venda no bairro Setor Marista, 46m² "," Rua 138, 0, Setor Marista, Goiânia - GO "," R$ 385.000,00 ",Urbs Private 2, 46m² 
" Apartamento com 2 quartos à venda no bairro Vila Alpes, 58m² "," Rua C86 Qd. 20 Lt. 01/04, 0, Vila Alpes, Goiânia - GO "," R$ 280.000,00 ",Urbs One, 58m² 
" Apartamento com 4 quartos à venda no bairro Setor Bueno, 225m² "," Rua T 52, 0, Setor Bueno, Goiânia - GO "," R$ 1.500.000,00 ",Urbs Private M, 225m² 
 Apartamento com 3 quartos à venda no bairro Setor Bueno ," Rua T 37, 0, Setor Bueno, Goiânia - GO "," R$ 620.000,00 ",Urbs Private 2,
" Casa com 4 quartos à venda no bairro Residencial Granville, 474m² "," Nápoli, 903, Residencial Granville, Goiânia - GO "," R$ 1.600.000,00 ",M2 Investimentos Imobiliários, 474m² 
" Cobertura com 4 quartos à venda no bairro Setor Marista, 406m² "," 1141, 247, Setor Marista, Goiânia - GO "," R$ 4.009.000,00 ",R8 Imóveis, 406m² 
" Apartamento com 4 quartos à venda no bairro Setor Oeste, 124m² "," T-47, 60, Setor Oeste, Goiânia - GO "," R$ 507.000,00 ",Nova Mercado Imobiliário, 124m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 110m² "," T 52, 122, Setor Bueno, Goiânia - GO "," R$ 815.000,00 ",M2 Investimentos Imobiliários, 110m² 
" Casa em Condomínio com 3 quartos à venda no bairro Gentil Meireles, 172m² "," Cândido Portinari, 1, Gentil Meireles, Goiânia - GO "," R$ 350.000,00 ",M2 Investimentos Imobiliários, 172m² 
" Apartamento com 2 quartos à venda no bairro Cândida de Morais, 60m² "," Avenida Perimetral Norte, 0, Cândida de Morais, Goiânia - GO "," R$ 219.000,00 ",Urbs Private 1, 60m² 
" Apartamento com 3 quartos à venda no bairro Setor Marista, 126m² "," 1124, 244, Setor Marista, Goiânia - GO "," R$ 1.055.000,00 ",R8 Imóveis, 126m² 
" Apartamento com 3 quartos à venda no bairro Setor Marista, 221m² "," Rua 1141, 0, Setor Marista, Goiânia - GO "," R$ 1.700.000,00 ",Urbs Private 2, 221m² 
" Apartamento com 2 quartos à venda no bairro Vila Maria, 45m² "," Avenida Odorico Nery, 12, Vila Maria, Aparecida de Goiânia - GO "," R$ 140.000,00 ",Rvs Imóveis, 45m² 
" Lote à venda no bairro Jardim Todos Os Santos, 1045m² "," Rua São Luiz, 0, Jardim Todos Os Santos, Senador Canedo - GO "," R$ 1.200.000,00 ",Urbs Private 1, 1045m² 
" Apartamento com 4 quartos à venda no bairro Setor Marista, 218m² "," Rua 138, 6, Setor Marista, Goiânia - GO "," R$ 1.674.200,00 ",Pinamar, 218m² 
" Apartamento com 3 quartos à venda no bairro Setor Marista, 157m² "," Rua 1124, 0, Setor Marista, Goiânia - GO "," R$ 1.250.000,00 ",Urbs Private 2, 157m² 
" Apartamento com 2 quartos à venda no bairro Parque Amazônia, 54m² "," Rua Manaus, 1230, Parque Amazônia, Goiânia - GO "," R$ 265.000,00 ",Pinamar, 54m² 
" Casa com 3 quartos à venda no bairro Terras Alpha Residencial 2, 300m² "," Alameda Suiça, 0, Terras Alpha Residencial 2, Senador Canedo - GO "," R$ 699.000,00 ",Urbs Private 3, 300m² 
" Casa em Condomínio com 4 quartos à venda no bairro Residencial Goiânia Golfe Clube, 315m² "," Ggc13 Esquina C/ Ggc 18 Quadra 5 Lt 01, 1, Residencial Goiânia Golfe Clube, Goiânia - GO "," R$ 2.700.000,00 ",Nova Mercado Imobiliário, 315m² 
